numero_questao,enunciado,alternativas,gabarito,nu_param_B,ano,enunciado_limpo,alternativas_limpo
1,"A atmosfera terrestre é composta pelos gases nitrogênio (N2) e oxigênio (O2), que somam cerca de 99%, e por gases traços, entre eles o gás carbônico (CO2), vapor de água (H2O), metano (CH4), ozônio (O3) e o óxido nitroso (N2O), que compõem o restante 1% do ar que respiramos. Os gases traços, por serem constituídos por pelo menos três átomos, conseguem absorver o calor irradiado pela Terra, aquecendo o planeta. Esse fenômeno, que acontece há bilhões de anos, é chamado de efeito estufa. A partir da Revolução Industrial (século XIX), a concentração de gases traços na atmosfera, em particular o CO2, tem aumentado significativamente, o que resultou no aumento da temperatura em escala global. Mais recentemente, outro fator tornou-se diretamente envolvido no aumento da concentração de CO2 na atmosfera: o desmatamento. Considerando o texto, uma alternativa viável para combater o efeito estufa é ","A: reduzir o calor irradiado pela Terra mediante a substituição da produção primária pela industrialização refrigerada.; B: promover a queima da biomassa vegetal, responsável pelo aumento do efeito estufa devido à produção de CH4.; C: reduzir o desmatamento, mantendo-se, assim, o potencial da vegetação em absorver o CO2 da atmosfera.; D: aumentar a concentração atmosférica de H2O, molécula capaz de absorver grande quantidade de calor.; E: remover moléculas orgânicas polares da atmosfera, diminuindo a capacidade delas de reter calor.",C,-1.70677,2009,absorver acontece alternativa anos aquecendo ar atmosfera aumentado aumento bilhões calor carbônico cerca chamado combater composta compõem concentração conseguem considerando constituídos desmatamento diretamente efeito envolvido escala estufa fator fenômeno gases global gás industrial irradiado menos metano nitrogênio nitroso outro oxigênio ozônio particular partir planeta recentemente respiramos restante resultou revolução serem significativamente somam século temperatura terra terrestre texto tornou traços três vapor viável xix água átomos óxido,A: calor industrialização irradiado mediante primária produção reduzir refrigerada substituição terra; B: aumento biomassa devido efeito estufa produção promover queima responsável vegetal; C: absorver assim atmosfera desmatamento mantendo potencial reduzir vegetação; D: absorver atmosférica aumentar calor capaz concentração grande molécula quantidade; E: atmosfera calor capacidade diminuindo moléculas orgânicas polares remover reter
2,"Analise a figura. Supondo que seja necessário dar um título para essa figura, a alternativa que melhor traduziria o processo representado seria: ",A: Concentração média de álcool no sangue ao longo do dia.; B: Variação da frequência da ingestão de álcool ao longo das horas.; C: Concentração mínima de álcool no sangue a partir de diferentes dosagens.; D: Estimativa de tempo necessário para metabolizar diferentes quantidades de álcool.; E: Representação gráfica da distribuição de frequência de álcool em determinada hora do dia.,D,0.62043,2009,alternativa analise dar figura melhor necessário processo representado supondo traduziria título,A: concentração dia longo média sangue álcool; B: frequência horas ingestão longo variação álcool; C: concentração diferentes dosagens mínima partir sangue álcool; D: diferentes estimativa metabolizar necessário quantidades tempo álcool; E: determinada dia distribuição frequência gráfica hora representação álcool
3,"Estima-se que haja atualmente no mundo 40 milhões de pessoas infectadas pelo HIV (o vírus que causa a AIDS), sendo que as taxas de novas infecções continuam crescendo, principalmente na África, Ásia e Rússia. Nesse cenário de pandemia, uma vacina contra o HIV teria imenso impacto, pois salvaria milhões de vidas. Certamente seria um marco na história planetária e também uma esperança para as populações carentes de tratamento antiviral e de acompanhamento médico. Uma vacina eficiente contra o HIV deveria","A: induzir a imunidade, para proteger o organismo da contaminação viral.; B: ser capaz de alterar o genoma do organismo portador, induzindo a síntese de enzimas protetoras.; C: produzir antígenos capazes de se ligarem ao vírus, impedindo que este entre nas células do organismo humano.; D: ser amplamente aplicada em animais, visto que esses são os principais transmissores do vírus para os seres humanos.; E: estimular a imunidade, minimizando a transmissão do vírus por gotículas de saliva.",A,2.07704,2009,acompanhamento aids antiviral atualmente carentes causa cenário certamente continuam contra crescendo deveria eficiente esperança estima história hiv imenso impacto infectadas infecções marco milhões mundo médico nesse novas pandemia pessoas planetária pois populações principalmente rússia salvaria sendo taxas tratamento vacina vidas vírus áfrica ásia,A: contaminação imunidade induzir organismo proteger viral; B: alterar capaz enzimas genoma induzindo organismo portador protetoras síntese; C: antígenos capazes células humano impedindo ligarem organismo produzir vírus; D: amplamente animais aplicada humanos principais seres transmissores visto vírus; E: estimular gotículas imunidade minimizando saliva transmissão vírus
4,"Em um experimento, preparou-se um conjunto de plantas por técnica de clonagem a partir de uma planta original que apresentava folhas verdes. Esse conjunto foi dividido em dois grupos, que foram tratados de maneira idêntica, com exceção das condições de iluminação, sendo um grupo exposto a ciclos de iluminação solar natural e outro mantido no escuro. Após alguns dias, observou-se que o grupo exposto à luz apresentava folhas verdes como a planta original e o grupo cultivado no escuro apresentava folhas amareladas. Ao final do experimento, os dois grupos de plantas apresentaram",A: os genótipos e os fenótipos idênticos.; B: os genótipos idênticos e os fenótipos diferentes.; C: diferenças nos genótipos e fenótipos.; D: o mesmo fenótipo e apenas dois genótipos diferentes.; E: o mesmo fenótipo e grande variedade de genótipos.,B,0.115,2009,alguns amareladas apresentaram apresentava após ciclos clonagem condições conjunto cultivado dias dividido dois escuro exceção experimento exposto final folhas grupo grupos idêntica iluminação luz maneira mantido natural observou original outro partir planta plantas preparou sendo solar tratados técnica verdes,A: fenótipos genótipos idênticos; B: diferentes fenótipos genótipos idênticos; C: diferenças fenótipos genótipos; D: apenas diferentes dois fenótipo genótipos; E: fenótipo genótipos grande variedade
5,"Na linha de uma tradição antiga, o astrônomo grego Ptolomeu (100-170 d.C.) afirmou a tese do geocentrismo, segundo a qual a Terra seria o centro do universo, sendo que o Sol, a Lua e os planetas girariam em seu redor em órbitas circulares. A teoria de Ptolomeu resolvia de modo razoável os problemas astronômicos da sua época. Vários séculos mais tarde, o clérigo e astrônomo polonês Nicolau Copérnico (1473-1543), ao encontrar inexatidões na teoria de Ptolomeu, formulou a teoria do heliocentrismo, segundo a qual o Sol deveria ser considerado o centro do universo, com a Terra, a Lua e os planetas girando circularmente em torno dele. Por fim, o astrônomo e matemático alemão Johannes Kepler (1571- 1630), depois de estudar o planeta Marte por cerca de trinta anos, verificou que a sua órbita é elíptica. Esse resultado generalizou-se para os demais planetas. A respeito dos estudiosos citados no texto, é correto afirmar que","A: Ptolomeu apresentou as ideias mais valiosas, por serem mais antigas e tradicionais.; B: Copérnico desenvolveu a teoria do heliocentrismo inspirado no contexto político do Rei Sol.; C: Copérnico viveu em uma época em que a pesquisa científica era livre e amplamente incentivada pelas autoridades.; D: Kepler estudou o planeta Marte para atender às necessidades de expansão econômica e científica da Alemanha.; E: Kepler apresentou uma teoria científica que, graças aos métodos aplicados, pôde ser testada e generalizada.",E,0.21694,2009,afirmar afirmou alemão anos antiga astronômicos astrônomo c centro cerca circulares circularmente citados clérigo considerado copérnico correto d demais deveria elíptica encontrar estudar estudiosos fim formulou generalizou geocentrismo girando girariam grego heliocentrismo inexatidões johannes kepler linha lua marte matemático modo nicolau planeta planetas polonês problemas ptolomeu razoável redor resolvia respeito resultado segundo sendo sol séculos tarde teoria terra tese texto torno tradição trinta universo verificou vários época órbita órbitas,A: antigas apresentou ideias ptolomeu serem tradicionais valiosas; B: contexto copérnico desenvolveu heliocentrismo inspirado político rei sol teoria; C: amplamente autoridades científica copérnico incentivada livre pesquisa viveu época; D: alemanha atender científica econômica estudou expansão kepler marte necessidades planeta; E: aplicados apresentou científica generalizada graças kepler métodos pôde teoria testada
6,"O ciclo biogeoquímico do carbono compreende diversos compartimentos, entre os quais a Terra, a atmosfera e os oceanos, e diversos processos que permitem a transferência de compostos entre esses reservatórios. Os estoques de carbono armazenados na forma de recursos não renováveis, por exemplo, o petróleo, são limitados, sendo de grande relevância que se perceba a importância da substituição de combustíveis fósseis por combustíveis de fontes renováveis. A utilização de combustíveis fósseis interfere no ciclo do carbono, pois provoca",A: aumento da porcentagem de carbono contido na Terra.; B: redução na taxa de fotossíntese dos vegetais superiores.; C: aumento da produção de carboidratos de origem vegetal.; D: aumento na quantidade de carbono presente na atmosfera.; E: redução da quantidade global de carbono armazenado nos oceanos.,D,0.48599,2009,armazenados atmosfera biogeoquímico carbono ciclo combustíveis compartimentos compostos compreende diversos estoques exemplo fontes forma fósseis grande importância interfere limitados oceanos perceba permitem petróleo pois processos provoca quais recursos relevância renováveis reservatórios sendo substituição terra transferência utilização,A: aumento carbono contido porcentagem terra; B: fotossíntese redução superiores taxa vegetais; C: aumento carboidratos origem produção vegetal; D: atmosfera aumento carbono presente quantidade; E: armazenado carbono global oceanos quantidade redução
7,"Um novo método para produzir insulina artificial que utiliza tecnologia de DNA recombinante foi desenvolvido por pesquisadores do Departamento de Biologia Celular da Universidade de Brasília (UnB) em parceria com a iniciativa privada. Os pesquisadores modificaram geneticamente a bactéria Escherichia coli para torná-la capaz de sintetizar o hormônio. O processo permitiu fabricar insulina em maior quantidade e em apenas 30 dias, um terço do tempo necessário para obtê-la pelo método tradicional, que consiste na extração do hormônio a partir do pâncreas de animais abatidos. A produção de insulina pela técnica do DNA recombinante tem, como consequência,",A: o aperfeiçoamento do processo de extração de insulina a partir do pâncreas suíno.; B: a seleção de microrganismos resistentes a antibióticos.; C: o progresso na técnica da síntese química de hormônios.; D: impacto favorável na saúde de indivíduos diabéticos.; E: a criação de animais transgênicos.,D,0.73577,2009,abatidos animais apenas artificial bactéria biologia brasília capaz celular coli consequência consiste departamento desenvolvido dias dna escherichia extração fabricar geneticamente hormônio iniciativa insulina la maior modificaram método necessário novo obtê parceria partir permitiu pesquisadores privada processo produzir produção pâncreas quantidade recombinante sintetizar tecnologia tempo terço torná tradicional técnica unb universidade utiliza,A: aperfeiçoamento extração insulina partir processo pâncreas suíno; B: antibióticos microrganismos resistentes seleção; C: hormônios progresso química síntese técnica; D: diabéticos favorável impacto indivíduos saúde; E: animais criação transgênicos
8,"A economia moderna depende da disponibilidade de muita energia em diferentes formas, para funcionar e crescer. No Brasil, o consumo total de energia pelas indústrias cresceu mais de quatro vezes no período entre 1970 e 2005. Enquanto os investimentos em energias limpas e renováveis, como solar e eólica, ainda são incipientes, ao se avaliar a possibilidade de instalação de usinas geradoras de energia elétrica, diversos fatores devem ser levados em consideração, tais como os impactos causados ao ambiente e às populações locais. Em uma situação hipotética, optou-se por construir uma usina hidrelétrica em região que abrange diversas quedas d’água em rios cercados por mata, alegando-se que causaria impacto ambiental muito menor que uma usina termelétrica. Entre os possíveis impactos da instalação de uma usina hidrelétrica nessa região, inclui-se","A: a poluição da água por metais da usina.; B: a destruição do habitat de animais terrestres.; C: o aumento expressivo na liberação de CO2 para a atmosfera.; D: o consumo não renovável de toda água que passa pelas turbinas.; E: o aprofundamento no leito do rio, com a menor deposição d",B,-0.04312,2009,abrange ainda alegando ambiental ambiente avaliar brasil causados causaria cercados consideração construir consumo crescer cresceu d depende devem diferentes disponibilidade diversas diversos economia elétrica energia energias enquanto eólica fatores formas funcionar geradoras hidrelétrica hipotética impacto impactos incipientes inclui indústrias instalação investimentos levados limpas locais mata menor moderna muita nessa optou período populações possibilidade possíveis quatro quedas região renováveis rios situação solar tais termelétrica total usina usinas vezes água,A: metais poluição usina água; B: animais destruição habitat terrestres; C: atmosfera aumento expressivo liberação; D: consumo passa renovável toda turbinas água; E: aprofundamento d deposição leito menor rio
9,"As mudanças climáticas e da vegetação ocorridas nos trópicos da América do Sul têm sido bem documentadas por diversos autores, existindo um grande acúmulo de evidências geológicas ou paleoclimatológicas que evidenciam essas mudanças ocorridas durante o Quaternário nessa região. Essas mudanças resultaram em restrição da distribuição das florestas pluviais, com expansões concomitantes de habitats não-florestais durante períodos áridos (glaciais), seguido da expansão das florestas pluviais e restrição das áreas não-florestais durante períodos úmidos (interglaciais). Durante os períodos glaciais, ","A: as áreas não-florestais ficam restritas a refúgios ecológicos devido à baixa adaptabilidade de espécies não-florestais a ambientes áridos.; B: grande parte da diversidade de espécies vegetais é reduzida, uma vez que necessitam de condições semelhantes a dos períodos interglaciais.; C: a vegetação comum ao cerrado deve ter se limitado a uma pequena região do centro do Brasil, da qual se expandiu até atingir a atual distribuição.; D: plantas com adaptações ao clima árido, como o desenvolvimento de estruturas que reduzem a perda de água, devem apresentar maior área de distribuição.; E: florestas tropicais como a amazônica apresentam distribuição geográfica mais ampla, uma vez que são densas e diminuem a ação da radiação solar sobre o solo e reduzem os efeitos da aridez.",D,2.09416,2009,acúmulo américa autores bem climáticas concomitantes distribuição diversos documentadas durante evidenciam evidências existindo expansão expansões florestais florestas geológicas glaciais grande habitats interglaciais mudanças nessa ocorridas paleoclimatológicas períodos pluviais quaternário região restrição resultaram seguido sido sul trópicos têm vegetação áreas áridos úmidos,A: adaptabilidade ambientes baixa devido ecológicos espécies ficam florestais refúgios restritas áreas áridos; B: condições diversidade espécies grande interglaciais necessitam parte períodos reduzida semelhantes vegetais vez; C: atingir atual brasil centro cerrado comum deve distribuição expandiu limitado pequena região ter vegetação; D: adaptações apresentar clima desenvolvimento devem distribuição estruturas maior perda plantas reduzem água área árido; E: amazônica ampla apresentam aridez ação densas diminuem distribuição efeitos florestas geográfica radiação reduzem sobre solar solo tropicais vez
10,"A fotossíntese é importante para a vida na Terra. Nos cloroplastos dos organismos fotossintetizantes, a energia solar é convertida em energia química que, juntamente com água e gás carbônico (CO2), é utilizada para a síntese de compostos orgânicos (carboidratos). A fotossíntese é o único processo de importância biológica capaz de realizar essa conversão. Todos os organismos, incluindo os produtores, aproveitam a energia armazenada nos carboidratos para impulsionar os processos celulares, liberando CO2 para a atmosfera e água para a célula por meio da respiração celular. Além disso, grande fração dos recursos energéticos do planeta, produzidos tanto no presente (biomassa) como em tempos remotos (combustível fóssil), é resultante da atividade fotossintética. As informações sobre obtenção e transformação dos recursos naturais por meio dos processos vitais de fotossíntese e respiração, descritas no texto, permitem concluir que","A: o CO2 e a água são moléculas de alto teor energético.; B: os carboidratos convertem energia solar em energia química.; C: a vida na Terra depende, em última análise, da energia proveniente do Sol.; D: o processo respiratório é responsável pela retirada de carbono da atmosfera.; E: a produção de biomassa e de combustível fóssil, por si, é responsável pelo aumento de CO2 atmosférico.",C,1.35298,2009,além aproveitam armazenada atividade atmosfera biológica biomassa capaz carboidratos carbônico celular celulares cloroplastos combustível compostos concluir conversão convertida célula descritas disso energia energéticos fotossintetizantes fotossintética fotossíntese fração fóssil grande gás importante importância impulsionar incluindo informações juntamente liberando meio naturais obtenção organismos orgânicos permitem planeta presente processo processos produtores produzidos química realizar recursos remotos respiração resultante sobre solar síntese tanto tempos terra texto todos transformação utilizada vida vitais água único,A: alto energético moléculas teor água; B: carboidratos convertem energia química solar; C: análise depende energia proveniente sol terra vida última; D: atmosfera carbono processo respiratório responsável retirada; E: atmosférico aumento biomassa combustível fóssil produção responsável si
