numero_questao,enunciado,alternativas
92,"O sino dos ventos é composto por várias barras metálicas de mesmo material e
espessura, mas de comprimentos diferentes, conforme a figura.
Considere f  e v , respectivamente, como a frequência fundamental e a velocidade
de propagação do som emitido pela barra de menor comprimento, e f  e v  são essas
mesmas grandezas para o som emitido pela barra de maior comprimento.
As relações entre as frequências fundamentais e entre as velocidades de propagação
são, respectivamente,",A: f  < f  e v  < v .; B: f  < f  e v  = v .; C: f  < f  e v  > v .; D: f  > f  e v  = v .; E: f  > f  e v  > v .
93,"O polvo mimético apresenta padrões cromáticos e comportamentos muito curiosos.
Frequentemente, muda a orientação de seus tentáculos, assemelhando-se a alguns
animais. As imagens 1, 3 e 5 apresentam polvos mimetizando, respectivamente, um
peixe-linguado (2), um peixe-leão (4) e uma serpente-marinha (6).
NORMAN, M. D.; FINN, J.; TREGENZA, T. Dynamic mimicry in an Indo-Malayan octopus. 
In: Proceedings of the Royal Society B: Biological Sciences, n. 268, out. 2001. 
Disponível em: www.researchgate.net. Acesso em: 15 mar. 2014 (adaptado).
Do ponto de vista evolutivo, a capacidade apresentada se estabeleceu porque os polvos",A: originaram-se do mesmo ancestral que esses animais.; B: passaram por mutações similares a esses organismos.; C: observaram esses animais em seus nichos ecológicos.; D: resultaram de convergência adaptativa com essas espécies.; E: sobreviveram às pressões seletivas com esses comportamentos.
94,"A figura foi extraída de um antigo jogo para computadores, chamado Bang! Bang!
No jogo, dois competidores controlam os canhões A e B, disparando balas
alternadamente com o objetivo de atingir o canhão do adversário; para isso, atribuem
valores estimados para o módulo da velocidade inicial de disparo (
) e para o ângulo
de disparo (θ).
Em determinado momento de uma partida, o competidor B deve disparar; ele sabe
que a bala disparada anteriormente, θ = 53°, passou tangenciando o ponto P.
 No jogo, 
 é igual a 10 m/s . Considere sen 53° = 0,8, cos 53° = 0,6 e desprezível
a ação de forças dissipativas.
Disponível em: http://mebdownloads.butzke.net.br. Acesso em: 18 abr. 2015 (adaptado).
Com base nas distâncias dadas e mantendo o último ângulo de disparo, qual deveria ser,
aproximadamente, o menor valor de 
 que permitiria ao disparo efetuado pelo canhão
B atingir o canhão A?",A: 30 m/s.; B: 35 m/s.; C: 40 m/s.; D: 45 m/s.; E: 50 m/s.
95,"Os pesticidas organoclorados foram amplamente empregados na agricultura,
contudo, em razão das suas elevadas toxicidades e persistências no meio ambiente, eles
foram banidos. Considere a aplicação de 500 g de um pesticida organoclorado em uma
cultura e que, em certas condições, o tempo de meia-vida do pesticida no solo seja de
5 anos.
A massa do pesticida no decorrer de 35 anos será mais próxima de","A: 3,9 g.; B: 31,2 g.; C: 62,5 g.; D: 125,0 g.; E: 250,0 g."
96,"A sequência de nucleotídeos do RNA mensageiro presentes em um gene de um
fungo, constituída de sete códons, está escrita a seguir.
Pesquisadores submeteram a sequência a mutações independentes. Sabe-se que os
códons UAG e UAA são terminais, ou seja, indicam a interrupção da tradução.
 
Qual mutação produzirá a menor proteína?",A: Deleção de G no códon 3.; B: Substituição de C por U no códon 4.; C: Substituição de G por C no códon 6.; D: Substituição de A por G no códon 7.; E: Deleção dos dois primeiros nucleotídeos no códon 5.
97,"A simples atitude de não jogar direto no lixo ou no ralo da pia o óleo de cozinha
usado pode contribuir para a redução da poluição ambiental. Mas o que fazer com o óleo
vegetal que não será mais usado? Não existe um modelo ideal de descarte, mas uma
alternativa simples tem sido reaproveitá-lo para fazer sabão. Para isso, são necessários,
além do próprio óleo, água e soda cáustica.
LOBO, I. Sabão feito com óleo de cozinha. Disponível em: http://pga.pgr.mpf.gov.br. 
Acesso em: 29 fev. 2012 (adaptado).
Com base no texto, a reação química que permite o reaproveitamento do óleo vegetal é
denominada",A: redução.; B: epoxidação.; C: substituição.; D: esterificação.; E: saponificação.
98,"Durante o desenvolvimento embrionário humano ocorre uma comunicação entre os
átrios direito e esquerdo através do forame oval (ou forame de Botal). Essa comunicação
não causa prejuízos à circulação do bebê em formação, exceto se ela perdurar após o
nascimento.
Os prejuízos no período embrionário são evitados porque a circulação fetal se assemelha
à dos(as)","A: aves, porque a pequena circulação e a grande circulação estão presentes.; B: répteis, porque a mistura de sangue é minimizada por um metabolismo lento.; C: crocodilianos, porque a separação dos ventrículos impede a mistura sanguínea.; D: peixes, porque a circulação é simples, ocorrendo uma passagem única pelo; E: anfíbios, porque pressões diferenciais isolam temporalmente o sangue venoso do"
99,"Na cidade de São Paulo, as ilhas de calor são responsáveis pela alteração da
direção do fluxo da brisa marítima que deveria atingir a região de mananciais. Mas, ao
cruzar a ilha de calor, a brisa marítima agora encontra um fluxo de ar vertical, que
transfere para ela energia térmica absorvida das superfícies quentes da cidade,
deslocando-a para altas altitudes. Dessa maneira, há condensação e chuvas fortes no
centro da cidade, em vez de na região de mananciais. A imagem apresenta os três
subsistemas que trocam energia nesse fenômeno.
No processo de fortes chuvas no centro da cidade de São Paulo, há dois
mecanismos dominantes de transferência de calor: entre o Sol e a ilha de calor, e entre a
ilha de calor e a brisa marítima.
VIVEIROS, M. Ilhas de calor afastam chuvas de represas. Disponível em: www2.feis.unesp.br. 
Acesso em: 3 dez. 2019 (adaptado).
Esses mecanismos são, respectivamente,",A: irradiação e convecção.; B: irradiação e irradiação.; C: condução e irradiação.; D: convecção e irradiação.; E: convecção e convecção.
100,"No seu estudo sobre a queda dos corpos, Aristóteles afirmava que se abandonarmos
corpos leves e pesados de uma mesma altura, o mais pesado chegaria mais rápido ao
solo. Essa ideia está apoiada em algo que é difícil de refutar, a observação direta da
realidade baseada no senso comum.
Após uma aula de física, dois colegas estavam discutindo sobre a queda dos corpos,
e um tentava convencer o outro de que tinha razão:
Colega A: “O corpo mais pesado cai mais rápido que um menos pesado, quando
largado de uma mesma altura. Eu provo, largando uma pedra e uma rolha. A pedra chega
antes. Pronto! Tá provado!”.
Colega B: “Eu não acho! Peguei uma folha de papel esticado e deixei cair. Quando
amassei, ela caiu mais rápido. Como isso é possível? Se era a mesma folha de papel,
deveria cair do mesmo jeito. Tem que ter outra explicação!”.
HÜLSENDEGER, M. Uma análise das concepções dos alunos sobre a queda dos corpos. 
Caderno Brasileiro de Ensino de Física, n. 3, dez. 2004 (adaptado).
O aspecto físico comum que explica a diferença de comportamento dos corpos em queda
nessa discussão é o(a)",A: peso dos corpos.; B: resistência do ar.; C: massa dos corpos.; D: densidade dos corpos.; E: aceleração da gravidade.
101,"A obtenção de etanol utilizando a cana-de-açúcar envolve a fermentação dos
monossacarídeos formadores da sacarose contida no melaço. Um desses formadores é a
glicose (C H
 O ), cuja fermentação produz cerca de 50 g de etanol a partir de 100 g de
glicose, conforme a equação química descrita.
Em uma condição específica de fermentação, obtém-se 80% de conversão em etanol
que, após sua purificação, apresenta densidade igual a 0,80 g/mL. O melaço utilizado
apresentou 50 kg de monossacarídeos na forma de glicose.
O volume de etanol, em litro, obtido nesse processo é mais próximo de
6",A: 16.; B: 20.; C: 25.; D: 64.; E: 100.
