numero_questao,enunciado,alternativas,nu_param_B,gabarito
91,"Pesquisas demonstram que nanodispositivos baseados em movimentos de dimensões atômicas, induzidos por
luz, poderão ter aplicações em tecnologias futuras, substituindo micromotores, sem a necessidade de componentes
mecânicos. Exemplo de movimento molecular induzido pela luz pode ser observado pela flexão de uma lâmina delgada de
silício, ligado a um polímero de azobenzeno e a um material suporte, em dois comprimentos de onda, conforme ilustrado na figura.
Com a aplicação de luz ocorrem reações reversíveis da cadeia do polímero, que promovem o movimento observado.
Átomos:
o Hidrogênio
365 nm O Carbono
LM a j .
O Nitrogênio
Cn
420 nm
fenômeno de movimento molecular, promovido pela incidência de luz, decorre do(a)","A: movimento vibracional dos átomos, que leva ao encurtamento e à relaxação das ligações.; B: isomerização das ligações N=N, sendo a forma cis do polímero mais compacta que a trans.; C: O tautomerização das unidades monoméricas do polímero, que leva a um composto mais compacto.; D: ressonância entre os elétrons 7 do grupo azo e os do anel aromático que encurta as ligações duplas.; E: variação conformacional das ligações N=N, que resulta em estruturas com diferentes áreas de superfície.",1.76478,B
92,"O carro flex é uma realidade no Brasil. Estes veículos estão equipados com motor que tem a capacidade de
funcionar com mais de um tipo de combustível. No entanto, as pessoas que têm esse tipo de veículo, na hora
do abastecimento, têm sempre a dúvida: álcool ou gasolina? Para avaliar o consumo desses combustíveis,
realizou-se um percurso com um veículo flex, consumindo 40 litros de gasolina e no percurso de volta utilizou-se etanol.
Foi considerado o mesmo consumo de energia tanto no percurso de ida quanto no de volta.
O quadro resume alguns dados aproximados sobre esses combustíveis.
Combustível Densidade (g mL”) Calor de combustão (kcal 9!)
Etanol 0,8 -6
Gasolina 0,7 | -10 |
O volume de etanol combustível, em litro, consumido no percurso de volta é mais próximo de;A: 27.; B: 32.; C 37.; D: 58.; E: 67.",,1.54804,D
93,"Em 1938 o arqueólogo alemão Wilhelm Kônig, diretor
do Museu Nacional do Iraque, encontrou um objeto
estranho na coleção da instituição, que poderia ter sido
usado como uma pilha, similar às utilizadas em nossos
dias. A suposta pilha, datada de cerca de 200 a.C., é
constituída de um pequeno vaso de barro (argila) no qual
foram instalados um tubo de cobre, uma barra de ferro
(aparentemente corroída por ácido) e uma tampa de
betume (asfalto), conforme ilustrado. Considere os
potenciais-padrão de redução: Eº(Fe”|Fe) = -0,44 V;
ES(H:|H,) = 0,00 V; e E*(CuZ[Cu) = +0,34 V.
Tampa de
betume
Barra de ferro
Tubo de cobre
Vestígio
de ácido
Vaso de
barro
As pilhas de Bagdá e a acupuntura. 
Nessa suposta pilha, qual dos componentes atuaria como
cátodo?",A: tampa de betume.; B: O vestígio de ácido.; C: A barra de ferro.; D: tubo de cobre.; E: O vaso de barro.,1.12818,D
94,"Anabolismo e catabolismo são processos celulares
antagônicos, que são controlados principalmente pela
ação hormonal. Por exemplo, no fígado a insulina atua
como um hormônio com ação anabólica, enquanto o
glucagon tem ação catabólica e ambos são secretados
em resposta ao nível de glicose sanguínea.
Em caso de um indivíduo com hipoglicemia, o hormônio
citado que atua no catabolismo induzirá o organismo a",A: realizar a fermentação lática.; B: metabolizar aerobicamente a glicose.; C: produzir aminoácidos a partir de ácidos graxos.; D: transformar ácidos graxos em glicogênio.; E:estimular a utilização do glicogênio.,1.5452,E
95,"Usando um densímetro cuja menor divisão da escala,
isto é, a diferença entre duas marcações consecutivas,
é de 5,0 x 102 g em, um estudante realizou um teste
de densidade: colocou este instrumento na água pura e
observou que ele atingiu o repouso na posição mostrada.
Legenda:
Densímetro
Água
Em dois outros recipientes A e B contendo 2 litros de
água pura, em cada um, ele adicionou 100 g e 200 g de
NaCl, respectivamente.
Quando o cloreto de sódio é adicionado à água
pura ocorre sua dissociação formando os íons Na* e
Cl. Considere que esses íons ocupam os espaços
intermoleculares na solução.
Nestes recipientes, a posição de equilíbrio do densímetro
está representada em:",A: ; B: ; C: ; D: ;E:,1.54204,D
96,"Para serem absorvidos pelas células do intestino
humano, os lipídios ingeridos precisam ser primeiramente
emulsificados. Nessa etapa da digestão, torna-se
necessária a ação dos ácidos biliares, visto que os
lipídios apresentam uma natureza apolar e são insolúveis
em água.
Esses ácidos atuam no processo de modo a",A: hidrolisar os lipídios.; B: agir como detergentes.; C: tornar os lipídios anfifílicos.; D: promover a secreção de lipases.; E: estimular o trânsito intestinal dos lipídios.,1.38202,B
97,"A tecnologia de comunicação da etiqueta RFID
(chamada de etiqueta inteligente) é usada há anos
para rastrear gado, vagões de trem, bagagem aérea e
carros nos pedágios. Um modelo mais barato dessas
etiquetas pode funcionar sem baterias e é constituído
por três componentes: um microprocessador de silício;
uma bobina de metal, feita de cobre ou de alumínio, que
é enrolada em um padrão circular; e um encapsulador,
que é um material de vidro ou polímero envolvendo
o microprocessador e a bobina. Na presença de um
campo de radiofrequência gerado pelo leitor, a etiqueta
transmite sinais. A distância de leitura é determinada
pelo tamanho da bobina e pela potência da onda de
rádio emitida pelo leitor.
A etiqueta funciona sem pilhas porque o campo",A: O elétrico da onda de rádio agita elétrons da bobina.; B: elétrico da onda de rádio cria uma tensão na bobina.; C: magnético da onda de rádio induz corrente na bobina.; D: O magnético da onda de rádio aquece os fios da bobina.; E: magnético da onda de rádio diminui a ressonância no interior da bobina.,0.557,C
98,"Corredores ecológicos visam mitigar os efeitos da
fragmentação dos ecossistemas promovendo a ligação
entre diferentes áreas, com o objetivo de proporcionar o
deslocamento de animais, a dispersão de sementes e o
aumento da cobertura vegetal. São instituídos com base
em informações como estudos sobre o deslocamento
de espécies, sua área de vida (área necessária para o
suprimento de suas necessidades vitais e reprodutivas) e
a distribuição de suas populações.
Nessa estratégia, a recuperação da biodiversidade é
efetiva porque",A: propicia o fluxo gênico.; B: intensifica o manejo de espécies.; C: amplia o processo de ocupação humana.; D: aumenta o número de indivíduos nas populações.; E: favorece a formação de ilhas de proteção integral.,1.01563,A
99,"A identificação de riscos de produtos perigosos para o
transporte rodoviário é obrigatória e realizada por meio da
sinalização composta por um painel de segurança, de cor
alaranjada, e um rótulo de risco. As informações inseridas
no painel de segurança e no rótulo de risco, conforme
determina a legislação, permitem que se identifique o
produto transportado e os perigos a ele associados.
A sinalização mostrada identifica uma substância que
está sendo transportada em um caminhão.
Os três algarismos da parte superior do painel indicam
o “Número de risco”. O número 268 indica tratar-se de um
gás (2), tóxico (6) e corrosivo (8). Os quatro dígitos da
parte inferior correspondem ao “Número ONU”, que
identifica o produto transportado.
GÁS
Considerando a identificação apresentada no caminhão,
o código 1005 corresponde à substância",A: eteno (C2H4).; B: nitrogênio (N2).; C: amônia (NH3).; D: propano (C3H8).; E: dióxido de carbono (CO2).,1.46128,C
100,"No ciclo celular atuam moléculas reguladoras. Dentre
elas, a proteína p53 é ativada em resposta a mutações
no DNA, evitando a progressão do ciclo até que os danos
sejam reparados, ou induzindo a célula à autodestruição.
A ausência dessa proteína poderá favorecer a","A: redução da síntese de DNA, acelerando o ciclo celular.; B: saída imediata do ciclo celular, antecipando a proteção do DNA.; C: ativação de outras proteínas reguladoras, induzindo a apoptose.; D: manutenção da estabilidade genética, favorecendo a longevidade.; E: proliferação celular exagerada, resultando na formação de um tumor.",0.44914,E
