CO_PROVA_CN;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45
1228.0;C;D;E;D;B;D;A;C;D;D;E;B;C;A;B;D;E;B;A;C;E;D;B;A;E;E;B;A;B;C;C;E;B;E;D;D;B;C;A;B;B;D;C;D;B
1228.0;E;C;E;C;E;E;C;B;E;D;B;D;E;B;A;E;D;A;E;A;E;A;B;A;D;C;E;D;E;B;A;B;C;E;B;E;D;C;E;B;A;C;B;E;D
1228.0;B;E;B;A;A;D;A;C;C;E;B;E;B;B;D;C;D;D;A;C;E;E;A;E;E;C;B;A;C;D;D;B;E;D;E;B;C;D;A;E;B;D;B;A;C
1228.0;B;A;E;C;E;B;A;D;E;E;D;D;B;C;C;D;B;E;D;E;B;D;C;B;C;D;C;E;A;A;E;C;C;D;A;D;C;D;C;D;B;B;E;D;C
1228.0;C;D;D;D;A;A;A;E;C;A;D;D;B;E;B;B;B;A;A;A;A;B;C;D;E;B;C;E;E;B;C;E;C;E;C;E;C;B;D;D;B;E;E;C;D
1228.0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1228.0;C;A;E;B;E;A;C;C;D;E;C;D;A;C;D;D;B;B;A;D;C;C;A;E;E;E;B;D;C;B;C;E;A;B;B;E;E;D;D;B;B;D;A;E;C
1228.0;C;B;E;A;D;E;D;A;E;D;E;D;D;E;E;C;B;D;E;C;A;C;D;D;E;C;B;E;A;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1228.0;A;B;E;C;C;B;B;C;A;D;D;C;A;A;E;E;C;D;B;A;B;A;D;E;B;C;B;E;A;B;E;E;A;E;C;C;C;A;B;E;E;E;E;E;E
1228.0;C;B;B;A;B;A;A;A;E;C;B;E;A;A;C;C;A;A;E;A;A;E;A;E;E;E;A;B;E;B;B;C;E;D;C;E;A;B;A;D;B;D;B;D;A
1228.0;C;A;B;A;B;A;C;D;E;C;D;E;C;C;E;C;D;A;C;D;B;E;D;D;E;C;E;D;C;C;D;A;C;B;B;B;A;B;C;E;C;E;E;E;C
1228.0;A;B;C;C;C;C;B;A;D;C;E;C;C;E;C;D;C;E;C;C;C;C;D;E;A;D;A;A;A;A;C;C;C;C;C;C;C;A;A;A;A;B;B;B;B
1228.0;C;C;A;A;B;A;C;A;E;E;C;E;A;E;E;D;B;A;C;A;D;D;B;A;A;C;B;B;E;A;C;E;D;E;E;D;C;B;C;B;B;E;B;D;D
1228.0;C;D;D;A;E;D;B;E;C;E;D;A;B;A;B;B;E;E;C;E;C;B;E;E;D;D;C;D;B;A;B;A;D;E;B;D;C;B;B;D;B;E;A;C;A
1228.0;C;B;A;A;B;A;A;A;B;A;B;D;B;D;A;B;A;A;C;B;A;C;A;E;B;D;A;D;B;A;C;E;B;A;E;B;B;C;A;D;B;C;D;A;A
1228.0;B;C;E;E;B;A;C;A;D;D;B;C;A;A;E;C;E;E;B;B;D;D;A;A;A;E;C;D;B;A;A;D;E;C;C;C;B;A;B;E;D;C;A;B;D
1228.0;C;D;A;A;B;C;C;D;E;E;B;A;A;E;C;D;B;C;C;B;A;C;B;C;E;C;A;B;B;A;A;E;B;E;E;D;D;A;D;E;B;C;D;E;C
1228.0;B;A;B;D;B;B;A;A;B;E;C;B;A;D;A;C;A;E;A;A;C;C;A;C;A;A;A;A;C;A;D;E;E;A;A;D;B;C;A;D;B;C;E;A;C
1228.0;B;E;B;A;C;D;A;C;E;D;E;B;C;E;C;D;A;C;E;B;B;E;D;E;D;C;A;B;C;A;D;E;E;A;B;E;A;B;C;E;B;B;D;E;C
1228.0;E;D;D;A;E;E;A;C;C;A;D;C;A;E;B;B;C;B;A;E;D;C;A;E;A;B;B;C;B;A;E;E;D;A;E;C;E;D;A;E;B;E;C;E;B
1228.0;D;B;B;D;C;A;E;B;E;D;A;D;E;A;E;C;C;D;B;E;C;E;A;C;B;C;E;E;E;B;D;C;E;B;C;B;E;B;A;B;B;A;D;E;D
1228.0;D;D;D;C;E;A;C;D;B;A;D;D;A;C;E;E;A;A;E;A;E;D;E;E;E;B;A;E;C;A;C;C;D;E;D;D;A;A;E;E;B;D;C;D;A
1228.0;C;B;D;A;E;A;A;C;E;E;B;C;B;B;E;E;A;E;D;C;A;D;A;E;B;C;D;B;B;A;D;D;B;B;D;E;B;E;C;E;D;E;E;B;B
1228.0;C;B;D;A;B;E;B;B;D;E;A;D;B;E;C;C;C;B;D;D;B;C;D;A;E;D;A;E;B;B;A;E;D;E;E;A;C;D;E;D;B;E;E;B;C
1228.0;E;B;E;A;C;A;D;E;A;B;B;E;A;A;A;A;A;D;C;E;C;E;A;D;E;A;D;E;E;B;A;A;C;D;B;E;C;B;D;E;B;A;A;E;A
1228.0;C;D;E;C;D;A;B;C;E;D;E;C;A;A;A;C;A;E;C;D;B;C;D;C;E;C;E;E;B;D;E;A;C;E;B;C;B;D;B;C;A;C;C;D;C
1228.0;E;B;A;A;E;E;A;C;E;E;D;C;C;E;D;D;C;D;B;A;E;E;D;A;E;B;A;E;C;B;B;C;E;E;A;D;A;A;D;E;B;C;E;E;D
1228.0;A;C;A;C;E;D;B;B;D;D;E;C;E;C;A;E;A;E;D;B;B;E;A;A;B;D;B;B;C;A;C;C;C;E;A;B;D;D;C;D;A;C;A;D;E
1228.0;E;E;A;C;D;D;B;E;A;D;C;E;E;C;A;E;A;E;C;A;A;E;C;E;E;C;C;A;A;A;C;C;A;D;E;E;B;C;D;E;B;D;C;D;C
1228.0;E;A;B;D;B;E;C;E;C;E;D;C;A;D;C;A;B;C;D;B;B;A;B;E;E;C;D;D;E;D;D;C;C;D;A;B;C;A;B;E;B;E;D;E;A
1228.0;A;A;B;C;C;A;D;D;D;A;D;E;A;B;B;C;B;C;D;B;C;E;A;E;D;D;C;C;E;B;D;B;C;E;E;B;B;E;C;D;D;C;C;D;C
1228.0;C;B;A;B;C;E;B;A;C;E;E;A;B;A;D;B;A;B;C;E;C;A;B;A;D;C;A;C;B;D;C;B;A;D;C;A;C;A;E;B;B;A;C;D;A
1228.0;B;D;B;C;C;C;A;B;C;A;C;D;E;C;B;B;D;A;D;D;B;C;D;D;E;A;A;C;C;E;D;B;D;A;D;B;A;D;B;C;A;D;E;B;D
1228.0;C;D;B;D;E;E;A;B;E;E;B;D;A;B;D;B;A;C;D;D;B;E;D;D;D;B;D;D;A;A;B;E;E;D;E;E;C;D;D;E;B;C;A;E;B
1228.0;C;A;D;A;E;A;D;E;E;C;C;D;B;C;E;D;C;B;C;A;D;D;D;D;E;D;C;E;C;B;A;D;D;B;B;E;E;B;D;B;B;D;B;D;D
1228.0;D;B;B;D;C;C;C;B;A;D;C;D;C;E;E;E;D;A;B;A;C;C;D;A;E;C;A;E;D;B;A;B;A;E;E;D;C;A;A;D;B;E;B;E;D
1228.0;C;B;D;D;C;E;E;B;E;E;E;D;C;C;C;C;A;A;B;A;E;C;B;D;E;C;C;D;B;B;A;C;A;B;E;E;C;C;C;E;B;E;E;D;B
1228.0;C;B;A;A;A;A;C;A;B;E;E;B;A;E;E;D;B;A;A;D;D;D;D;E;E;B;E;E;E;A;D;E;C;E;E;B;A;D;E;E;B;D;C;D;C
1228.0;C;D;D;A;B;A;E;C;E;B;A;D;B;C;E;D;B;E;A;D;E;C;A;E;A;C;C;D;B;B;D;A;C;E;B;E;D;C;B;D;B;A;A;C;D
1228.0;A;A;B;C;B;C;E;E;D;B;C;D;A;A;C;D;A;E;B;C;C;C;A;E;E;C;A;B;B;C;E;D;C;D;B;E;B;B;A;B;B;D;B;A;B
1228.0;C;B;E;B;C;A;E;A;E;E;C;D;E;D;E;E;A;A;D;C;D;C;D;E;A;A;A;A;B;E;D;A;C;A;E;B;D;D;A;D;B;E;D;D;E
1228.0;C;D;D;A;B;A;D;C;E;E;D;A;B;B;E;C;B;A;C;D;B;C;D;A;E;C;E;B;A;B;C;E;D;E;C;E;A;A;C;C;B;E;E;D;C
1228.0;D;B;E;A;B;E;D;E;C;C;A;E;C;D;E;C;D;C;B;A;D;C;E;D;B;A;B;C;D;E;C;D;E;C;D;B;A;D;D;D;B;E;B;D;E
1228.0;B;A;E;A;C;B;A;B;C;C;B;D;A;E;C;C;B;C;B;D;A;A;B;E;A;A;B;C;A;B;C;E;C;B;A;E;C;C;C;D;B;B;B;B;D
1228.0;B;E;D;C;A;E;E;E;D;E;B;E;A;D;E;E;D;C;E;B;E;E;C;E;E;D;C;B;E;E;D;E;C;D;A;E;C;B;E;E;B;E;D;D;B
1228.0;C;B;D;A;D;A;A;E;A;A;B;A;A;E;A;C;A;A;C;A;E;A;B;D;B;B;C;C;B;D;B;A;B;C;D;E;A;C;A;D;B;E;E;E;B
1228.0;A;B;D;B;C;C;D;A;E;C;E;D;C;C;E;A;D;B;E;C;B;C;D;E;E;A;E;D;D;A;D;B;D;E;B;B;A;D;B;A;E;E;C;A;C
1228.0;C;A;A;A;B;D;B;B;D;C;E;E;B;A;A;C;E;D;C;B;B;D;D;B;E;A;A;B;C;A;A;E;D;E;E;E;A;B;E;C;B;A;A;B;C
1228.0;D;B;A;C;E;A;D;C;E;D;B;E;A;D;E;B;C;C;B;C;C;B;A;E;E;A;A;B;E;D;A;B;C;B;A;B;C;A;A;B;B;C;B;D;A
1228.0;C;B;D;B;C;E;B;E;D;A;D;A;B;C;E;C;C;E;A;E;B;C;D;D;B;E;A;D;C;E;B;E;E;E;E;E;C;C;D;D;B;E;B;B;B
1228.0;C;B;E;D;E;E;D;C;E;D;D;A;D;C;E;E;A;B;E;E;E;E;E;D;E;D;A;E;B;C;E;E;E;E;A;E;E;B;D;B;B;D;D;E;D
1228.0;C;D;A;D;C;A;B;E;B;E;A;D;B;E;A;D;A;D;B;A;B;D;A;C;A;B;D;D;B;C;A;C;D;D;E;C;C;C;C;B;C;E;B;E;D
1228.0;D;E;B;C;B;E;E;E;D;D;C;B;E;B;C;E;B;D;E;D;E;B;D;D;C;A;C;D;D;B;C;D;C;D;C;E;C;B;D;D;B;D;E;D;A
1228.0;E;B;E;A;B;B;E;B;A;B;D;D;D;C;E;A;E;D;D;B;B;E;A;D;E;E;E;D;C;A;B;C;C;E;B;C;B;B;C;E;B;A;B;E;E
1228.0;A;B;E;C;C;E;C;E;C;E;B;D;C;B;C;D;A;A;B;B;E;D;D;D;C;C;B;C;E;B;B;C;A;D;C;E;C;A;C;B;B;D;A;A;B
1228.0;E;B;A;A;C;A;E;A;B;B;E;D;A;A;A;E;B;E;C;E;E;E;A;E;A;E;C;E;C;A;B;B;A;E;D;B;C;D;D;E;B;E;B;E;A
1228.0;B;B;B;C;C;C;E;B;D;E;B;D;B;E;D;E;B;B;D;C;B;C;B;E;E;A;C;A;B;B;B;C;E;C;A;E;D;C;D;D;B;B;B;A;A
1228.0;A;B;C;B;A;D;C;C;E;C;D;E;C;C;A;B;C;D;A;A;B;D;B;E;A;D;A;B;C;D;C;D;A;D;A;E;D;A;B;D;E;B;C;B;C
1228.0;B;B;B;C;B;A;D;C;C;D;C;E;C;A;C;D;B;C;A;E;B;B;E;D;D;D;D;D;C;C;C;A;C;D;E;C;C;C;C;E;B;C;A;B;D
1228.0;C;B;D;C;C;D;B;E;E;A;B;D;C;D;E;C;B;E;E;A;B;E;D;C;A;D;C;B;B;A;B;E;E;E;E;C;B;B;D;E;B;D;E;E;B
1228.0;D;C;B;C;E;C;E;A;C;E;E;E;B;.;.;C;C;A;A;D;C;C;B;E;.;.;B;B;C;D;D;A;C;D;B;B;E;A;C;B;B;A;C;E;C
1228.0;A;B;D;C;C;E;C;D;C;E;B;C;C;E;A;B;B;A;D;D;A;B;D;E;A;D;B;E;C;B;A;A;B;C;B;B;C;B;C;E;B;D;B;B;D
1228.0;C;E;D;D;B;D;B;C;C;A;E;D;B;C;C;C;A;B;C;A;A;D;D;E;A;D;C;B;E;A;C;B;D;B;E;A;C;C;C;E;B;E;B;B;C
1228.0;C;D;A;A;A;D;C;A;E;C;E;D;E;E;B;A;B;A;A;A;B;D;E;E;E;A;A;E;B;A;C;C;C;E;E;E;D;C;D;D;B;E;B;E;E
1228.0;C;D;D;D;B;C;B;E;A;E;D;D;C;D;E;C;D;B;E;D;A;D;C;E;E;D;B;E;A;A;C;E;B;D;E;C;E;E;B;C;B;C;E;D;A
1228.0;A;A;E;A;E;A;D;A;E;E;A;D;E;E;A;E;A;A;A;B;B;C;A;D;A;D;C;D;B;A;E;C;E;B;A;D;E;D;C;D;B;E;D;E;D
1228.0;E;D;E;D;C;E;D;B;E;D;C;E;C;B;D;E;D;D;C;B;E;D;C;C;E;C;D;B;C;B;D;E;C;E;A;E;C;E;B;E;B;D;D;E;A
1228.0;C;A;B;A;E;A;D;E;B;E;B;E;E;A;C;B;B;B;B;E;A;D;B;A;E;C;C;A;B;E;B;E;C;D;E;A;C;D;D;D;B;E;B;E;E
1228.0;C;B;A;C;A;A;D;E;E;B;D;D;C;E;C;E;B;C;D;E;A;B;B;A;E;D;C;C;B;C;D;D;C;E;C;E;C;D;B;E;B;E;E;D;C
1228.0;C;B;B;A;B;E;E;E;D;A;D;B;A;A;C;A;E;A;A;E;A;C;D;D;A;D;A;E;B;A;C;B;E;E;D;B;C;C;E;D;B;A;B;C;E
1228.0;E;B;D;C;E;A;E;B;C;B;A;B;B;E;E;D;B;D;D;D;D;C;D;A;E;B;A;B;A;A;C;C;B;E;B;D;C;B;B;D;B;E;A;E;B
1228.0;B;C;C;D;A;E;E;B;A;A;A;C;D;A;E;A;A;C;A;A;E;C;C;E;E;A;E;D;B;A;D;A;C;D;E;B;A;C;A;E;.;D;D;E;B
1228.0;C;A;D;A;B;D;A;E;E;C;E;C;C;A;E;D;B;B;A;A;B;E;D;C;D;D;C;C;C;A;D;A;B;B;E;B;E;C;E;.;B;E;.;D;B
1228.0;C;B;D;C;E;D;B;E;E;D;B;E;B;C;D;D;C;E;B;A;C;E;A;E;A;C;A;E;B;B;B;E;D;A;D;E;C;B;D;D;B;D;E;B;C
1228.0;E;B;E;D;C;E;A;B;C;D;A;D;A;C;E;D;C;A;B;E;C;D;C;A;D;E;C;B;D;A;C;B;C;D;D;E;A;D;D;D;B;A;C;E;D
1228.0;C;B;E;A;B;A;C;A;E;B;D;D;A;A;E;C;C;B;E;E;C;A;D;D;E;E;E;E;B;B;C;E;B;E;D;A;C;B;A;B;B;D;E;B;D
1228.0;C;D;E;C;E;B;B;D;E;D;C;D;C;D;C;B;A;C;C;E;B;D;B;D;E;A;D;B;B;E;A;C;C;E;E;B;B;B;C;D;B;C;D;B;B
1228.0;E;D;E;C;A;C;B;B;C;C;B;E;B;E;E;D;D;D;D;A;B;D;D;E;D;C;B;D;D;B;C;E;C;E;B;B;C;D;D;D;B;B;D;E;B
1228.0;C;B;D;A;D;D;D;A;B;A;A;A;C;E;A;C;B;C;B;E;A;E;C;C;E;B;C;A;A;B;C;C;C;E;E;E;C;B;B;D;B;D;D;E;C
1228.0;C;A;E;A;A;A;B;D;B;E;A;A;A;D;E;E;A;E;E;A;C;A;A;E;A;A;B;E;E;D;C;E;C;E;E;E;A;C;A;A;B;D;E;A;A
1228.0;C;D;E;C;B;E;B;A;C;B;C;D;B;C;E;C;B;E;D;B;C;D;B;E;E;C;E;E;B;E;B;A;E;E;C;B;D;E;C;D;B;D;C;D;B
1228.0;A;B;B;C;C;B;A;B;C;D;A;A;B;B;C;C;C;E;A;D;B;C;B;B;E;A;A;E;C;B;A;B;C;B;B;B;C;A;C;A;B;D;C;E;A
1228.0;C;B;A;B;C;C;E;A;E;D;C;C;D;A;A;D;A;B;A;A;E;E;C;D;E;D;A;E;A;A;A;A;C;A;E;D;C;D;D;A;B;A;D;E;D
1228.0;E;A;D;C;C;A;C;C;A;C;B;E;B;E;B;D;C;E;A;A;D;B;D;E;E;C;A;E;D;C;D;C;D;E;E;C;B;D;A;B;B;E;E;B;A
